Date,Open,High,Low,Close,Volume,Change
2007-03-07,161536,164532,155558,157041,1406544,-0.036694208792624305
2007-03-08,158541,160040,155560,155545,732341,-0.009526174693233025
2007-03-09,157043,160040,155560,155545,709900,0.0
2007-03-12,157038,160034,155554,158537,632040,0.01923559098653116
2007-03-13,158536,161533,157038,158537,694780,0.0
2007-03-14,154062,158541,154062,155545,659272,-0.018872566025596504
2007-03-15,157038,161533,157038,158537,491251,0.01923559098653116
2007-03-16,160032,163029,157035,160032,856353,0.009429975336987528
2007-03-19,160033,172005,160033,167510,2046785,0.04672815436912625
2007-03-20,169011,174989,164531,166015,1687317,-0.008924840308041304
2007-03-21,166017,169014,161537,164519,2406697,-0.009011233924645312
2007-03-22,164540,169019,160044,161528,1344360,-0.018180270971741908
2007-03-23,160044,163040,160044,161528,602650,0.0
2007-03-26,161542,164540,161542,161528,588647,0.0
2007-03-27,161537,166017,161537,164519,764908,0.018516913476301244
2007-03-28,166010,167508,160032,160032,747792,-0.027273445620262682
2007-03-29,160041,163038,160041,163023,455250,0.018690011997600564
2007-03-30,161541,186968,161541,186954,6392970,0.14679523748182777
2007-04-02,206413,213889,179487,180972,14279901,-0.031997175775859255
2007-04-03,185458,186957,172003,176485,4058729,-0.02479389076763261
2007-04-04,176494,177993,167520,170502,2729701,-0.03390089809332242
2007-04-05,170505,179480,169007,176485,3074242,0.03509049747217041
2007-04-06,174996,174996,169018,170502,1552891,-0.03390089809332242
2007-04-09,166020,169016,160041,163023,1666955,-0.04386458809867333
2007-04-10,161537,169014,161537,164519,1047221,0.009176619250044427
2007-04-11,166017,167516,161537,164519,1228138,0.0
2007-04-12,164536,164536,161540,163023,868202,-0.009093174648520885
2007-04-13,164536,167518,161540,163023,2254648,0.0
2007-04-16,164536,166020,161540,163023,1061781,0.0
2007-04-17,164536,167518,161540,163023,2336980,0.0
2007-04-18,161540,164536,161540,163023,1189872,0.0
2007-04-19,163036,163036,155560,155545,1451080,-0.04587082804266884
2007-04-20,157038,160034,155554,158537,806960,0.01923559098653116
2007-04-23,158534,161530,158534,160032,658180,0.009429975336987528
2007-04-24,160032,161530,158534,160032,778460,0.0
2007-04-25,160034,161533,158536,158537,645520,-0.009341881623675219
2007-04-26,158545,160043,154064,154050,735662,-0.028302541362584144
2007-04-27,154062,157043,154062,155545,451008,0.009704641350210874
2007-04-30,157046,157046,154064,154050,351718,-0.009611366485582917
2007-05-02,155560,157043,154062,155545,604360,0.009704641350210874
2007-05-03,155554,158536,155554,158537,381018,0.01923559098653116
2007-05-04,158539,160037,157041,157041,349090,-0.009436283012798308
2007-05-07,157038,160034,157038,158537,407489,0.009526174693232914
2007-05-08,160032,164527,158534,160032,1046289,0.009429975336987528
2007-05-09,161533,163031,158536,158537,646261,-0.009341881623675219
2007-05-10,160034,160034,155554,158537,590817,0.0
2007-05-11,158541,160040,155560,155545,428830,-0.018872566025596504
2007-05-14,157041,158539,155558,157041,380240,0.00961779549326569
2007-05-15,157041,158539,155558,157041,371004,0.0
2007-05-16,158534,172003,155552,160032,3846782,0.0190459816226336
2007-05-17,163034,180984,160037,173493,6093429,0.08411442711457706
2007-05-18,173507,174991,164532,173493,2899821,0.0
2007-05-21,173505,177985,170508,174989,2077405,0.00862282628117561
2007-05-22,174987,176485,166012,167510,936232,-0.04273982936070264
2007-05-23,167521,169019,160044,161528,1215924,-0.03571130081786167
2007-05-25,161534,174989,161534,166015,4689590,0.027778465653013784
2007-05-28,169011,173506,163032,166015,1785470,0.0
2007-05-29,167510,169008,163030,167510,1474211,0.009005210372556638
2007-05-30,169018,172015,167520,170502,1086621,0.01786162020177895
2007-05-31,172012,183969,172012,171998,3559097,0.008774090626502806
2007-06-01,173503,174987,166012,167510,1240596,-0.026093326666589145
2007-06-04,169018,172015,167520,170502,881943,0.01786162020177895
2007-06-05,170516,172015,166021,170502,984400,0.0
2007-06-07,170505,177982,170505,176485,1404200,0.03509049747217041
2007-06-08,177980,183958,167507,169006,2321315,-0.04237753916763465
2007-06-11,169008,172005,166012,167510,1085250,-0.008851756742364159
2007-06-12,169010,174988,167512,174989,1475586,0.0446480807115992
2007-06-13,174983,182459,173499,177980,2851918,0.01709250295732878
2007-06-14,179486,180984,173507,173493,1170694,-0.025210697831216988
2007-06-15,174985,182462,173502,176485,1359360,0.01724565256235122
2007-06-18,180977,194432,176482,185458,3406306,0.05084284783409365
2007-06-19,186957,188455,176483,176485,1865646,-0.04838292227889873
2007-06-20,177993,179492,169018,170502,1808087,-0.03390089809332242
2007-06-21,169012,174991,167514,173493,1148880,0.017542316219164578
2007-06-22,174994,176492,169015,171998,931215,-0.008617062359864702
2007-06-25,169018,176494,167520,170502,3804365,-0.008697775555529752
2007-06-26,169016,170515,160041,163023,1659820,-0.04386458809867333
2007-06-27,164534,169014,161537,164519,1099142,0.009176619250044427
2007-06-28,169015,172012,166018,171998,1016376,0.04545979491730434
2007-06-29,170503,173500,167507,169006,716620,-0.017395551111059393
2007-07-02,169008,170507,164528,167510,777450,-0.008851756742364159
2007-07-03,167510,169008,166012,167510,653010,0.0
2007-07-04,167516,167516,163035,164519,1033649,-0.01785565040893078
2007-07-05,164536,166020,161540,163023,544150,-0.009093174648520885
2007-07-06,163040,164540,157047,161528,1324550,-0.009170485146267726
2007-07-09,160034,163031,158536,158537,581790,-0.018516913476301355
2007-07-10,158534,160032,157035,160032,675750,0.009429975336987528
2007-07-11,158536,160034,155554,158537,729522,-0.009341881623675219
2007-07-12,158539,160037,157041,157041,591421,-0.009436283012798308
2007-07-13,157043,158541,155560,155545,640631,-0.009526174693233025
2007-07-16,157035,161530,157035,160032,703660,0.028846957472114187
2007-07-18,161536,164532,157041,157041,1113312,-0.018690011997600453
2007-07-19,157038,158536,155554,158537,857963,0.009526174693232914
2007-07-20,158541,158541,154062,155545,918273,-0.018872566025596504
2007-07-23,155553,155553,151058,151059,991707,-0.028840528464431525
2007-07-24,151063,152562,145085,148067,907978,-0.01980683044373388
2007-07-25,146589,148087,142093,145076,858044,-0.020200314722389145
2007-07-26,145080,154054,143581,151059,775050,0.041240453279660416
2007-07-27,152565,152565,145087,146572,593300,-0.02970362573563967
2007-07-30,146586,149567,145087,146572,258345,0.0
2007-07-31,146575,152554,146575,152554,547922,0.040812706383210884
2007-08-01,151061,154058,148079,149563,371426,-0.0196061722406492
2007-08-02,151061,152559,148079,149563,512406,0.0
2007-08-03,149559,152556,149559,151059,398242,0.010002473873885975
2007-08-06,149565,151063,148082,148067,238790,-0.01980683044373388
2007-08-07,149565,151063,148082,148067,258600,0.0
2007-08-08,151056,169005,151056,169006,8360946,0.1414157104554019
2007-08-09,188458,188458,169010,174989,11887210,0.03540111001976265
2007-08-10,169015,182470,164535,171998,3460271,-0.01709250295732878
2007-08-13,182469,197438,174992,197423,6847639,0.14782148629635228
